resource_id,title,subject,institution,learning_product,level,duration_raw,hours_estimate,skills_raw,skills_list,skill_count,rating,reviews
coursera_0000,Cybersecurity for Everyone,Computer Science,"University of Maryland, College Park",Course,beginner,1 - 3 Months,40,"Cyber Risk, Cyber Security Policies, Security Management, Cybersecurity, Risk Management, Cyber Security Strategy, Cyber Attacks, Cyber Governance, Computer Security Awareness Training, Threat Detection, General Networking, Vulnerability","['Cyber Risk', 'Cyber Security Policies', 'Security Management', 'Cybersecurity', 'Risk Management', 'Cyber Security Strategy', 'Cyber Attacks', 'Cyber Governance', 'Computer Security Awareness Training', 'Threat Detection', 'General Networking', 'Vulnerability']",12,4.7,2700
coursera_0001,Python Basics,Computer Science,University of Michigan,Course,beginner,1 - 4 Weeks,20,"Debugging, Python Programming, Data Structures, Computer Programming, Computer Graphics, Graphical Tools, Computational Thinking","['Debugging', 'Python Programming', 'Data Structures', 'Computer Programming', 'Computer Graphics', 'Graphical Tools', 'Computational Thinking']",7,4.8,18000
coursera_0002,Meta Front-End Developer,Computer Science,Meta,Professional Certificate,beginner,3 - 6 Months,100,"Jest (JavaScript Testing Framework), Version Control, User Research, Usability Testing, Responsive Web Design, Cascading Style Sheets (CSS), Data Structures, Unix Commands, HTML and CSS, Git (Version Control System), Persona (User Experience), GitHub, Interaction Design, User Experience Design, Bootstrap (Front-End Framework), React.js, Mobile Development, Front-End Web Development, Algorithms, Web Development Tools","['Jest (JavaScript Testing Framework)', 'Version Control', 'User Research', 'Usability Testing', 'Responsive Web Design', 'Cascading Style Sheets (CSS)', 'Data Structures', 'Unix Commands', 'HTML and CSS', 'Git (Version Control System)', 'Persona (User Experience)', 'GitHub', 'Interaction Design', 'User Experience Design', 'Bootstrap (Front-End Framework)', 'React.js', 'Mobile Development', 'Front-End Web Development', 'Algorithms', 'Web Development Tools']",20,4.7,22000
coursera_0003,"HTML, CSS, and Javascript for Web Developers",Computer Science,Johns Hopkins University,Course,mixed,1 - 4 Weeks,20,"HTML and CSS, Javascript, Responsive Web Design, Ajax, Front-End Web Development, Web Design, Web Applications, Hypertext Markup Language (HTML), Browser Compatibility, Web Development, Cascading Style Sheets (CSS), Usability, Cross Platform Development, Server Side","['HTML and CSS', 'Javascript', 'Responsive Web Design', 'Ajax', 'Front-End Web Development', 'Web Design', 'Web Applications', 'Hypertext Markup Language (HTML)', 'Browser Compatibility', 'Web Development', 'Cascading Style Sheets (CSS)', 'Usability', 'Cross Platform Development', 'Server Side']",14,4.7,17000
coursera_0004,Hands-on Introduction to Linux Commands and Shell Scripting,Computer Science,IBM,Course,beginner,1 - 4 Weeks,20,"Linux Commands, Bash (Scripting Language), Shell Script, File Management, Unix Shell, Linux, Unix Commands, Linux Servers, Command-Line Interface, Linux Administration, Scripting Languages, Unix, Operating Systems, Network Protocols, OS Process Management, Automation","['Linux Commands', 'Bash (Scripting Language)', 'Shell Script', 'File Management', 'Unix Shell', 'Linux', 'Unix Commands', 'Linux Servers', 'Command-Line Interface', 'Linux Administration', 'Scripting Languages', 'Unix', 'Operating Systems', 'Network Protocols', 'OS Process Management', 'Automation']",16,4.6,1500
coursera_0005,Agile with Atlassian Jira,Computer Science,Atlassian,Course,beginner,1 - 4 Weeks,20,"Jira (Software), Agile Methodology, Kanban Principles, Agile Project Management, Lean Methodologies, Backlogs, Sprint Planning, Sprint Retrospectives, User Story, Workflow Management, Issue Tracking, Query Languages, Software Versioning, Administration","['Jira (Software)', 'Agile Methodology', 'Kanban Principles', 'Agile Project Management', 'Lean Methodologies', 'Backlogs', 'Sprint Planning', 'Sprint Retrospectives', 'User Story', 'Workflow Management', 'Issue Tracking', 'Query Languages', 'Software Versioning', 'Administration']",14,4.7,9300
coursera_0006,Cryptography I,Computer Science,Stanford University,Course,mixed,1 - 3 Months,40,"Cryptography, Data Encryption Standard, Encryption, Key Management, Advanced Encryption Standard (AES), Public Key Cryptography Standards (PKCS), Cybersecurity, Authentications, Data Integrity, Mathematical Software, Algorithms","['Cryptography', 'Data Encryption Standard', 'Encryption', 'Key Management', 'Advanced Encryption Standard (AES)', 'Public Key Cryptography Standards (PKCS)', 'Cybersecurity', 'Authentications', 'Data Integrity', 'Mathematical Software', 'Algorithms']",11,4.8,4400
coursera_0007,Learn to Program: The Fundamentals,Computer Science,University of Toronto,Course,beginner,1 - 3 Months,40,"Programming Principles, Debugging, Software Documentation, Python Programming, Computer Programming, Software Design, Program Development, Integrated Development Environments, Data Structures, File Management","['Programming Principles', 'Debugging', 'Software Documentation', 'Python Programming', 'Computer Programming', 'Software Design', 'Program Development', 'Integrated Development Environments', 'Data Structures', 'File Management']",10,4.7,6600
coursera_0008,React Basics,Computer Science,Meta,Course,beginner,1 - 4 Weeks,20,"Mobile Development, React.js, Web Applications, Event-Driven Programming, UI Components, Front-End Web Development, Cascading Style Sheets (CSS), Javascript, Development Environment, Hypertext Markup Language (HTML), Data Management, Debugging","['Mobile Development', 'React.js', 'Web Applications', 'Event-Driven Programming', 'UI Components', 'Front-End Web Development', 'Cascading Style Sheets (CSS)', 'Javascript', 'Development Environment', 'Hypertext Markup Language (HTML)', 'Data Management', 'Debugging']",12,4.7,2300
coursera_0009,Introduction to Programming,Computer Science,Ball State University,Course,beginner,1 - 3 Months,40,"Program Development, Data Analysis, Statistical Analysis, Computer Programming, Python Programming, Data Analysis Software, Object Oriented Programming (OOP), Natural Language Processing, Scripting, Computational Thinking, NumPy, Algorithms, Debugging, Data Structures","['Program Development', 'Data Analysis', 'Statistical Analysis', 'Computer Programming', 'Python Programming', 'Data Analysis Software', 'Object Oriented Programming (OOP)', 'Natural Language Processing', 'Scripting', 'Computational Thinking', 'NumPy', 'Algorithms', 'Debugging', 'Data Structures']",14,4.7,27
coursera_0010,HTML and CSS in depth,Computer Science,Meta,Course,beginner,1 - 4 Weeks,20,"Responsive Web Design, Cascading Style Sheets (CSS), HTML and CSS, Bootstrap (Front-End Framework), Debugging, UI Components, Web Development Tools, Front-End Web Development, Web Design, Semantic Web, Hypertext Markup Language (HTML), Browser Compatibility, Web Development, Web Content Accessibility Guidelines, User Interface (UI), Data Validation","['Responsive Web Design', 'Cascading Style Sheets (CSS)', 'HTML and CSS', 'Bootstrap (Front-End Framework)', 'Debugging', 'UI Components', 'Web Development Tools', 'Front-End Web Development', 'Web Design', 'Semantic Web', 'Hypertext Markup Language (HTML)', 'Browser Compatibility', 'Web Development', 'Web Content Accessibility Guidelines', 'User Interface (UI)', 'Data Validation']",16,4.7,1700
coursera_0011,Introduction to Front-End Development,Computer Science,Meta,Course,beginner,1 - 4 Weeks,20,"HTML and CSS, Bootstrap (Front-End Framework), Responsive Web Design, Front-End Web Development, User Interface (UI), Hypertext Markup Language (HTML), Web Design and Development, Web Development, Web Applications, Cascading Style Sheets (CSS), React.js, Javascript","['HTML and CSS', 'Bootstrap (Front-End Framework)', 'Responsive Web Design', 'Front-End Web Development', 'User Interface (UI)', 'Hypertext Markup Language (HTML)', 'Web Design and Development', 'Web Development', 'Web Applications', 'Cascading Style Sheets (CSS)', 'React.js', 'Javascript']",12,4.8,12000
