canonical_role,model,mae,rmse,smape,direction_accuracy
AI Engineer,patchtst,0.16744064539670944,0.1908820839538968,0.3058708582423141,0.5
AI Engineer,sarima,0.2487473040819168,0.2769899836753958,0.3920327454532848,0.16666666666666666
AI Engineer,seasonal_naive,0.25207257519165677,0.34363570776468977,0.6723419419036417,0.6666666666666666
AI Research Engineer,patchtst,0.2388909806807836,0.2587368751022649,0.8564004596913484,0.25
AI Research Engineer,sarima,0.19567994525035223,0.21727731502099998,0.37708439964488427,0.5
AI Research Engineer,seasonal_naive,0.3246309955914815,0.36597999035212864,1.4165141227150915,0.16666666666666666
Computer Vision Engineer,patchtst,0.20618376694619656,0.2511310599065391,0.6207351703621823,0.16666666666666666
Computer Vision Engineer,sarima,0.3837744301805894,0.407129443218825,1.169891850462556,0.25
Computer Vision Engineer,seasonal_naive,0.17037233710289001,0.25913262086615746,0.6128504989697453,0.3333333333333333
Data Engineer,patchtst,0.15704403507212797,0.205262298332828,0.4412144580438309,0.4166666666666667
Data Engineer,sarima,0.3852295055985451,0.4282339914248406,1.412991705221403,0.3333333333333333
Data Engineer,seasonal_naive,0.24999583760897318,0.3077589715448339,0.7063814769041769,0.25
Data Scientist,patchtst,0.1330652212103208,0.1538206364770488,0.2934768402362681,0.6666666666666666
Data Scientist,sarima,0.2473621591925621,0.25881110658208106,0.39777047850914404,0.0
Data Scientist,seasonal_naive,0.1686855877439181,0.25710635999378934,0.594131376819956,0.9166666666666666
MLOps Engineer,patchtst,0.16042533268531164,0.1931032654567095,0.49166024156000426,0.4166666666666667
MLOps Engineer,sarima,0.3087412342429161,0.3628862848763306,0.823250199020082,0.25
MLOps Engineer,seasonal_naive,0.16611608366171518,0.245579540166801,0.6161837937777902,0.16666666666666666
Machine Learning Engineer,patchtst,0.16451735297838846,0.17998098096486917,0.3309056948206632,0.5
Machine Learning Engineer,sarima,0.20303087681531906,0.25253509321100137,0.290605321166255,0.25
Machine Learning Engineer,seasonal_naive,0.24901841084162393,0.3258791097712956,0.6905996957204034,0.3333333333333333
Product Manager,patchtst,0.1647658416380485,0.2258916571635391,0.453632391428872,0.5
Product Manager,sarima,0.06385400891304016,0.06953107807747029,0.13512535093318087,0.3333333333333333
Product Manager,seasonal_naive,0.2594435935219129,0.32420608229600845,0.7346256180658487,0.16666666666666666
