order,seasonal_order,validation_mae,coverage,failures,failure_examples,elapsed_seconds
"(0, 0, 0)","(0, 0, 0, 12)",0.20086686313152313,1.0,0,,0.8812861999758752
"(0, 0, 0)","(0, 0, 1, 12)",0.19574324786663055,1.0,0,,0.15132920000178274
"(0, 0, 0)","(0, 1, 0, 12)",0.2027066946029663,1.0,0,,0.06395260001590941
"(0, 0, 0)","(0, 1, 1, 12)",0.2027066946029663,1.0,0,,0.042630099997040816
"(0, 0, 0)","(1, 0, 0, 12)",0.19906483590602875,1.0,0,,0.3998443999880692
"(0, 0, 0)","(1, 0, 1, 12)",0.19842438399791718,1.0,0,,0.2741460000106599
"(0, 0, 0)","(1, 1, 0, 12)",0.2027066946029663,1.0,0,,0.03429030001279898
"(0, 0, 0)","(1, 1, 1, 12)",0.2027066946029663,1.0,0,,0.040996699972311035
"(0, 0, 1)","(0, 0, 0, 12)",0.20154432952404022,1.0,0,,0.11896909997449256
"(0, 0, 1)","(0, 0, 1, 12)",0.19739480316638947,1.0,0,,0.24234889999206644
"(0, 0, 1)","(0, 1, 0, 12)",0.2025660276412964,1.0,0,,0.11437529997783713
"(0, 0, 1)","(0, 1, 1, 12)",0.20246152579784393,1.0,0,,0.04630479996558279
"(0, 0, 1)","(1, 0, 0, 12)",0.19845134019851685,1.0,0,,0.7602954000030877
"(0, 0, 1)","(1, 0, 1, 12)",0.19584982097148895,1.0,0,,0.7743034999730298
"(0, 0, 1)","(1, 1, 0, 12)",0.20246808230876923,1.0,0,,0.06123139998817351
"(0, 0, 1)","(1, 1, 1, 12)",0.20246152579784393,1.0,0,,0.0840794000250753
"(0, 0, 2)","(0, 0, 0, 12)",0.2030651569366455,1.0,0,,0.2322946999775013
"(0, 0, 2)","(0, 0, 1, 12)",0.1975056678056717,1.0,0,,0.6114721999911126
"(0, 0, 2)","(0, 1, 0, 12)",0.2039523720741272,1.0,0,,0.3400897000101395
"(0, 0, 2)","(0, 1, 1, 12)",0.2045273333787918,1.0,0,,0.05942569999024272
"(0, 0, 2)","(1, 0, 0, 12)",0.20026616752147675,1.0,0,,0.8741257000510814
"(0, 0, 2)","(1, 0, 1, 12)",0.19764494895935059,1.0,0,,1.0151343999896199
"(0, 0, 2)","(1, 1, 0, 12)",0.2049328088760376,1.0,0,,0.05561050001415424
"(0, 0, 2)","(1, 1, 1, 12)",0.2045273333787918,1.0,0,,0.06511419999878854
"(0, 1, 0)","(0, 0, 0, 12)",0.18917231261730194,1.0,0,,0.034537900020950474
"(0, 1, 0)","(0, 0, 1, 12)",0.18917231261730194,1.0,0,,0.09129940003913362
"(0, 1, 0)","(0, 1, 0, 12)",0.18979354202747345,1.0,0,,0.1255131999932928
"(0, 1, 0)","(0, 1, 1, 12)",0.18979354202747345,1.0,0,,0.04871190000267234
"(0, 1, 0)","(1, 0, 0, 12)",0.1850600242614746,1.0,0,,0.10303619998740032
"(0, 1, 0)","(1, 0, 1, 12)",0.1848771572113037,1.0,0,,0.21741320000728592
"(0, 1, 0)","(1, 1, 0, 12)",0.18979354202747345,1.0,0,,0.03611680000904016
"(0, 1, 0)","(1, 1, 1, 12)",0.18979354202747345,1.0,0,,0.04870429997390602
"(0, 1, 1)","(0, 0, 0, 12)",0.1912446767091751,1.0,0,,0.08297200003289618
"(0, 1, 1)","(0, 0, 1, 12)",0.1914573311805725,1.0,0,,0.19952639998518862
"(0, 1, 1)","(0, 1, 0, 12)",0.18972472846508026,1.0,0,,0.18914460003725253
"(0, 1, 1)","(0, 1, 1, 12)",0.19120554625988007,1.0,0,,0.04739849999896251
"(0, 1, 1)","(1, 0, 0, 12)",0.18548579514026642,1.0,0,,0.29187880000972655
"(0, 1, 1)","(1, 0, 1, 12)",0.18633808195590973,1.0,0,,0.39721229998394847
"(0, 1, 1)","(1, 1, 0, 12)",0.19120217859745026,1.0,0,,0.04410549998283386
"(0, 1, 1)","(1, 1, 1, 12)",0.19120554625988007,1.0,0,,0.062130799968144856
"(0, 1, 2)","(0, 0, 0, 12)",0.18966348469257355,1.0,0,,0.15851099998690188
"(0, 1, 2)","(0, 0, 1, 12)",0.19063667953014374,1.0,0,,0.39980199999990873
"(0, 1, 2)","(0, 1, 0, 12)",0.19526958465576172,1.0,0,,0.3580772999848705
"(0, 1, 2)","(0, 1, 1, 12)",0.19933195412158966,1.0,0,,0.05438229997525923
"(0, 1, 2)","(1, 0, 0, 12)",0.1932794600725174,1.0,0,,0.44007450000208337
"(0, 1, 2)","(1, 0, 1, 12)",0.18844346702098846,1.0,0,,0.7435249999980442
"(0, 1, 2)","(1, 1, 0, 12)",0.19987492263317108,1.0,0,,0.0541209999792045
"(0, 1, 2)","(1, 1, 1, 12)",0.19933195412158966,1.0,0,,0.07042209999053739
"(0, 2, 0)","(0, 0, 0, 12)",0.21386654675006866,1.0,0,,0.04295780003303662
"(0, 2, 0)","(0, 0, 1, 12)",0.21386654675006866,1.0,0,,0.12245600002643187
"(0, 2, 0)","(0, 1, 0, 12)",0.2764897048473358,1.0,0,,0.09084679999796208
"(0, 2, 0)","(0, 1, 1, 12)",0.2764897048473358,1.0,0,,0.0414193000033265
"(0, 2, 0)","(1, 0, 0, 12)",0.21298444271087646,1.0,0,,0.08414890000130981
"(0, 2, 0)","(1, 0, 1, 12)",0.21357190608978271,1.0,0,,0.2344077000161633
"(0, 2, 0)","(1, 1, 0, 12)",0.2764897346496582,1.0,0,,0.04011950004496612
"(0, 2, 0)","(1, 1, 1, 12)",0.2764897048473358,1.0,0,,0.04844969999976456
"(0, 2, 1)","(0, 0, 0, 12)",0.19009685516357422,1.0,0,,0.11543000003439374
"(0, 2, 1)","(0, 0, 1, 12)",0.1835431605577469,1.0,0,,0.2712250999902608
"(0, 2, 1)","(0, 1, 0, 12)",0.1775142401456833,1.0,0,,0.1959783999773208
"(0, 2, 1)","(0, 1, 1, 12)",0.1919001191854477,1.0,0,,0.06700279997312464
"(0, 2, 1)","(1, 0, 0, 12)",0.1740034818649292,1.0,0,,0.36721979998401366
"(0, 2, 1)","(1, 0, 1, 12)",0.17195777595043182,1.0,0,,0.5269409000175074
"(0, 2, 1)","(1, 1, 0, 12)",0.1919001191854477,1.0,0,,0.05821319996903185
"(0, 2, 1)","(1, 1, 1, 12)",0.1919001191854477,1.0,0,,0.05877860001055524
"(0, 2, 2)","(0, 0, 0, 12)",0.1787959188222885,1.0,0,,0.19084249998559244
"(0, 2, 2)","(0, 0, 1, 12)",0.17190338671207428,1.0,0,,0.36058649999904446
"(0, 2, 2)","(0, 1, 0, 12)",0.20587487518787384,1.0,0,,0.3530805000336841
"(0, 2, 2)","(0, 1, 1, 12)",0.28537261486053467,1.0,0,,0.07031570000981446
"(0, 2, 2)","(1, 0, 0, 12)",0.16635897755622864,1.0,0,,0.4229345000348985
"(0, 2, 2)","(1, 0, 1, 12)",0.162711501121521,1.0,0,,0.6689894999726675
"(0, 2, 2)","(1, 1, 0, 12)",0.2854549288749695,1.0,0,,0.051279699997394346
"(0, 2, 2)","(1, 1, 1, 12)",0.28537261486053467,1.0,0,,0.0761604999715928
"(1, 0, 0)","(0, 0, 0, 12)",0.20058590173721313,1.0,0,,0.08670559999882244
"(1, 0, 0)","(0, 0, 1, 12)",0.19545722007751465,1.0,0,,0.283920899964869
"(1, 0, 0)","(0, 1, 0, 12)",0.20040450990200043,1.0,0,,0.07787000000826083
"(1, 0, 0)","(0, 1, 1, 12)",0.20040450990200043,1.0,0,,0.042671800023526885
"(1, 0, 0)","(1, 0, 0, 12)",0.19384892284870148,1.0,0,,0.5851727000554092
"(1, 0, 0)","(1, 0, 1, 12)",0.19435030221939087,1.0,0,,0.5243729000212625
"(1, 0, 0)","(1, 1, 0, 12)",0.20040450990200043,1.0,0,,0.05084069997246843
"(1, 0, 0)","(1, 1, 1, 12)",0.20040450990200043,1.0,0,,0.05040579999331385
"(1, 0, 1)","(0, 0, 0, 12)",0.20092737674713135,1.0,0,,0.17874049999227282
"(1, 0, 1)","(0, 0, 1, 12)",0.1920853853225708,1.0,0,,0.640519000007771
"(1, 0, 1)","(0, 1, 0, 12)",0.20045526325702667,1.0,0,,0.268181099978392
"(1, 0, 1)","(0, 1, 1, 12)",0.1994885951280594,1.0,0,,0.050003300042590126
"(1, 0, 1)","(1, 0, 0, 12)",0.18248379230499268,1.0,0,,1.0596371000428917
"(1, 0, 1)","(1, 0, 1, 12)",0.18475498259067535,1.0,0,,1.205504799989285
"(1, 0, 1)","(1, 1, 0, 12)",0.1994885802268982,1.0,0,,0.05587680000462569
"(1, 0, 1)","(1, 1, 1, 12)",0.1994885951280594,1.0,0,,0.06598100003611762
"(1, 0, 2)","(0, 0, 0, 12)",0.19704055786132812,1.0,0,,0.4606911000155378
"(1, 0, 2)","(0, 0, 1, 12)",0.1971936970949173,1.0,0,,0.7030017999786651
"(1, 0, 2)","(0, 1, 0, 12)",0.2033442258834839,1.0,0,,0.4278053999878466
"(1, 0, 2)","(0, 1, 1, 12)",0.24534375965595245,1.0,0,,0.0692573999549495
"(1, 0, 2)","(1, 0, 0, 12)",0.19769132137298584,1.0,0,,1.1967406999901868
"(1, 0, 2)","(1, 0, 1, 12)",0.18954093754291534,1.0,0,,1.3082799999829149
"(1, 0, 2)","(1, 1, 0, 12)",0.24523328244686127,1.0,0,,0.06247390003409237
"(1, 0, 2)","(1, 1, 1, 12)",0.24534375965595245,1.0,0,,0.07444130000658333
"(1, 1, 0)","(0, 0, 0, 12)",0.18507210910320282,1.0,0,,0.05654130001494195
"(1, 1, 0)","(0, 0, 1, 12)",0.18490301072597504,1.0,0,,0.19682419997116085
"(1, 1, 0)","(0, 1, 0, 12)",0.21325981616973877,1.0,0,,0.07639460002246778
"(1, 1, 0)","(0, 1, 1, 12)",0.21325981616973877,1.0,0,,0.0442806999781169
"(1, 1, 0)","(1, 0, 0, 12)",0.18323518335819244,1.0,0,,0.24975729997095186
"(1, 1, 0)","(1, 0, 1, 12)",0.18323159217834473,1.0,0,,0.3076266999996733
"(1, 1, 0)","(1, 1, 0, 12)",0.21325981616973877,1.0,0,,0.045750499979476444
"(1, 1, 0)","(1, 1, 1, 12)",0.21325981616973877,1.0,0,,0.05046379999839701
"(1, 1, 1)","(0, 0, 0, 12)",0.19098980724811554,1.0,0,,0.15642149999621324
"(1, 1, 1)","(0, 0, 1, 12)",0.19107483327388763,1.0,0,,0.4113477999926545
"(1, 1, 1)","(0, 1, 0, 12)",0.19590985774993896,1.0,0,,0.2985755999543471
"(1, 1, 1)","(0, 1, 1, 12)",0.1990048885345459,1.0,0,,0.05421349994139746
"(1, 1, 1)","(1, 0, 0, 12)",0.1872776597738266,1.0,0,,0.375413599962485
"(1, 1, 1)","(1, 0, 1, 12)",0.1885286569595337,1.0,0,,0.5447818000247935
"(1, 1, 1)","(1, 1, 0, 12)",0.1990048885345459,1.0,0,,0.054894699991564266
"(1, 1, 1)","(1, 1, 1, 12)",0.1990048885345459,1.0,0,,0.06615529996633995
"(1, 1, 2)","(0, 0, 0, 12)",0.19264738261699677,1.0,0,,0.289600399977644
"(1, 1, 2)","(0, 0, 1, 12)",0.1958117038011551,1.0,0,,0.5429404000024078
"(1, 1, 2)","(0, 1, 0, 12)",0.19443123042583466,1.0,0,,0.5517211999977008
"(1, 1, 2)","(0, 1, 1, 12)",0.25591376423835754,1.0,0,,0.061976799988769926
"(1, 1, 2)","(1, 0, 0, 12)",0.18914109468460083,1.0,0,,0.6406772000191268
"(1, 1, 2)","(1, 0, 1, 12)",0.18786390125751495,1.0,0,,0.9494552999676671
"(1, 1, 2)","(1, 1, 0, 12)",0.2559337615966797,1.0,0,,0.057210700018913485
"(1, 1, 2)","(1, 1, 1, 12)",0.25591376423835754,1.0,0,,0.0667226999939885
"(1, 2, 0)","(0, 0, 0, 12)",0.19373631477355957,1.0,0,,0.04755910001404118
"(1, 2, 0)","(0, 0, 1, 12)",0.20052075386047363,1.0,0,,0.21924680005759
"(1, 2, 0)","(0, 1, 0, 12)",0.25762906670570374,1.0,0,,0.10252600003150292
"(1, 2, 0)","(0, 1, 1, 12)",0.25762903690338135,1.0,0,,0.05953189999854658
"(1, 2, 0)","(1, 0, 0, 12)",0.19888800382614136,1.0,0,,0.27513439998438116
"(1, 2, 0)","(1, 0, 1, 12)",0.19888286292552948,1.0,0,,0.3576111000002129
"(1, 2, 0)","(1, 1, 0, 12)",0.25762903690338135,1.0,0,,0.04849659999308642
"(1, 2, 0)","(1, 1, 1, 12)",0.25762903690338135,1.0,0,,0.05738139999448322
"(1, 2, 1)","(0, 0, 0, 12)",0.18397359549999237,1.0,0,,0.1619491999881575
"(1, 2, 1)","(0, 0, 1, 12)",0.17488783597946167,1.0,0,,0.35248140001203865
"(1, 2, 1)","(0, 1, 0, 12)",0.2116742879152298,1.0,0,,0.2955113999923924
"(1, 2, 1)","(0, 1, 1, 12)",0.19613127410411835,1.0,0,,0.051368699976592325
"(1, 2, 1)","(1, 0, 0, 12)",0.16735251247882843,1.0,0,,0.4156787000101758
"(1, 2, 1)","(1, 0, 1, 12)",0.16509316861629486,1.0,0,,0.5875674999988405
"(1, 2, 1)","(1, 1, 0, 12)",0.19613127410411835,1.0,0,,0.050719799983198754
"(1, 2, 1)","(1, 1, 1, 12)",0.19613127410411835,1.0,0,,0.06090349999431055
"(1, 2, 2)","(0, 0, 0, 12)",0.17392341792583466,1.0,0,,0.2940221000026213
"(1, 2, 2)","(0, 0, 1, 12)",0.1686873883008957,1.0,0,,0.5512179999350337
"(1, 2, 2)","(0, 1, 0, 12)",0.2299501746892929,1.0,0,,0.47613950005325023
"(1, 2, 2)","(0, 1, 1, 12)",0.27445366978645325,1.0,0,,0.06991060005384497
"(1, 2, 2)","(1, 0, 0, 12)",0.16062575578689575,1.0,0,,0.6911500999995042
"(1, 2, 2)","(1, 0, 1, 12)",0.16124415397644043,1.0,0,,1.2611306000035256
"(1, 2, 2)","(1, 1, 0, 12)",0.27445366978645325,1.0,0,,0.07249830002547242
"(1, 2, 2)","(1, 1, 1, 12)",0.27445366978645325,1.0,0,,0.08125219996145461
"(2, 0, 0)","(0, 0, 0, 12)",0.20107124745845795,1.0,0,,0.07898890004435088
"(2, 0, 0)","(0, 0, 1, 12)",0.1964636594057083,1.0,0,,0.445024500018917
"(2, 0, 0)","(0, 1, 0, 12)",0.24791504442691803,1.0,0,,0.09989450000284705
"(2, 0, 0)","(0, 1, 1, 12)",0.24791504442691803,1.0,0,,0.0500956000178121
"(2, 0, 0)","(1, 0, 0, 12)",0.19438044726848602,1.0,0,,0.8408541999961017
"(2, 0, 0)","(1, 0, 1, 12)",0.1944730281829834,1.0,0,,0.9047181000059936
"(2, 0, 0)","(1, 1, 0, 12)",0.24791504442691803,1.0,0,,0.05242260002705734
"(2, 0, 0)","(1, 1, 1, 12)",0.24791504442691803,1.0,0,,0.06242620000557508
"(2, 0, 1)","(0, 0, 0, 12)",0.20164887607097626,1.0,0,,0.3113797000114573
"(2, 0, 1)","(0, 0, 1, 12)",0.19348399341106415,1.0,0,,0.7575737000006484
"(2, 0, 1)","(0, 1, 0, 12)",0.27410051226615906,1.0,0,,0.4332066999777453
"(2, 0, 1)","(0, 1, 1, 12)",0.3129945695400238,1.0,0,,0.06294770000386052
"(2, 0, 1)","(1, 0, 0, 12)",0.18486277759075165,1.0,0,,1.269959999990533
"(2, 0, 1)","(1, 0, 1, 12)",0.18469011783599854,1.0,0,,1.0831978999922285
"(2, 0, 1)","(1, 1, 0, 12)",0.3129945695400238,1.0,0,,0.06207730002643075
"(2, 0, 1)","(1, 1, 1, 12)",0.3129945695400238,1.0,0,,0.06650970000191592
"(2, 0, 2)","(0, 0, 0, 12)",0.19843141734600067,1.0,0,,0.4759133999614278
"(2, 0, 2)","(0, 0, 1, 12)",0.198996901512146,1.0,0,,0.8227954999892972
"(2, 0, 2)","(0, 1, 0, 12)",0.25048401951789856,1.0,0,,0.8560379000118701
"(2, 0, 2)","(0, 1, 1, 12)",0.29027271270751953,1.0,0,,0.07341460001771338
"(2, 0, 2)","(1, 0, 0, 12)",0.19948656857013702,1.0,0,,1.5173207999760052
"(2, 0, 2)","(1, 0, 1, 12)",0.19659580290317535,1.0,0,,1.5976913999766111
"(2, 0, 2)","(1, 1, 0, 12)",0.2921622693538666,1.0,0,,0.06576530003803782
"(2, 0, 2)","(1, 1, 1, 12)",0.29027271270751953,1.0,0,,0.08237370000279043
"(2, 1, 0)","(0, 0, 0, 12)",0.18592743575572968,1.0,0,,0.0551584999775514
"(2, 1, 0)","(0, 0, 1, 12)",0.18753980100154877,1.0,0,,0.3129898000333924
"(2, 1, 0)","(0, 1, 0, 12)",0.23357164859771729,1.0,0,,0.15344089995778631
"(2, 1, 0)","(0, 1, 1, 12)",0.23357146978378296,1.0,0,,0.05451210001774598
"(2, 1, 0)","(1, 0, 0, 12)",0.18973173201084137,1.0,0,,0.40019220003159717
"(2, 1, 0)","(1, 0, 1, 12)",0.18972717225551605,1.0,0,,0.4889786999701755
"(2, 1, 0)","(1, 1, 0, 12)",0.23357146978378296,1.0,0,,0.05074759997660294
"(2, 1, 0)","(1, 1, 1, 12)",0.23357146978378296,1.0,0,,0.06687830001465045
"(2, 1, 1)","(0, 0, 0, 12)",0.18755371868610382,1.0,0,,0.23212809998949524
"(2, 1, 1)","(0, 0, 1, 12)",0.18979395925998688,1.0,0,,0.6222737999923993
"(2, 1, 1)","(0, 1, 0, 12)",0.24034591019153595,1.0,0,,0.5194452000723686
"(2, 1, 1)","(0, 1, 1, 12)",0.2743742763996124,1.0,0,,0.06877039998653345
"(2, 1, 1)","(1, 0, 0, 12)",0.22606222331523895,1.0,0,,0.6775128999870503
"(2, 1, 1)","(1, 0, 1, 12)",0.2012120634317398,1.0,0,,1.076961200014921
"(2, 1, 1)","(1, 1, 0, 12)",0.2743742763996124,1.0,0,,0.07193430002371315
"(2, 1, 1)","(1, 1, 1, 12)",0.2743742763996124,1.0,0,,0.07844090000435244
"(2, 1, 2)","(0, 0, 0, 12)",0.19255788624286652,1.0,0,,0.3243584999727318
"(2, 1, 2)","(0, 0, 1, 12)",0.2064988613128662,1.0,0,,0.7329433999984758
"(2, 1, 2)","(0, 1, 0, 12)",0.24121040105819702,1.0,0,,0.787767800007714
"(2, 1, 2)","(0, 1, 1, 12)",0.3068968951702118,1.0,0,,0.07239890001073945
"(2, 1, 2)","(1, 0, 0, 12)",0.19802825152873993,1.0,0,,1.0792749999527587
"(2, 1, 2)","(1, 0, 1, 12)",0.2027197927236557,1.0,0,,1.5343180000199936
"(2, 1, 2)","(1, 1, 0, 12)",0.30689719319343567,1.0,0,,0.06997109994699713
"(2, 1, 2)","(1, 1, 1, 12)",0.3068968951702118,1.0,0,,0.07989110004564282
"(2, 2, 0)","(0, 0, 0, 12)",0.1653338521718979,1.0,0,,0.07638339996628929
"(2, 2, 0)","(0, 0, 1, 12)",0.17712277173995972,1.0,0,,0.3980712999618845
"(2, 2, 0)","(0, 1, 0, 12)",0.24256499111652374,1.0,0,,0.15907749997859355
"(2, 2, 0)","(0, 1, 1, 12)",0.24256540834903717,1.0,0,,0.055824699957156554
"(2, 2, 0)","(1, 0, 0, 12)",0.18010073900222778,1.0,0,,0.3875941000005696
"(2, 2, 0)","(1, 0, 1, 12)",0.18005986511707306,1.0,0,,0.6106165000092005
"(2, 2, 0)","(1, 1, 0, 12)",0.24256540834903717,1.0,0,,0.05649239997728728
"(2, 2, 0)","(1, 1, 1, 12)",0.24256540834903717,1.0,0,,0.0616637999919476
"(2, 2, 1)","(0, 0, 0, 12)",0.1773056983947754,1.0,0,,0.22455629997421056
"(2, 2, 1)","(0, 0, 1, 12)",0.17916239798069,1.0,0,,0.6102439000533195
"(2, 2, 1)","(0, 1, 0, 12)",0.2525852918624878,1.0,0,,0.6016131999640493
"(2, 2, 1)","(0, 1, 1, 12)",0.25509199500083923,1.0,0,,0.06080459999793675
"(2, 2, 1)","(1, 0, 0, 12)",0.17738346755504608,1.0,0,,0.5461741000326583
"(2, 2, 1)","(1, 0, 1, 12)",0.17893408238887787,1.0,0,,0.8185937000380363
"(2, 2, 1)","(1, 1, 0, 12)",0.25509199500083923,1.0,0,,0.0673790000291774
"(2, 2, 1)","(1, 1, 1, 12)",0.25509199500083923,1.0,0,,0.07392199996684212
"(2, 2, 2)","(0, 0, 0, 12)",0.17775647342205048,1.0,0,,0.3622087000112515
"(2, 2, 2)","(0, 0, 1, 12)",0.19276432693004608,1.0,0,,0.9652235999674303
"(2, 2, 2)","(0, 1, 0, 12)",0.35700723528862,1.0,0,,0.44117859996913467
"(2, 2, 2)","(0, 1, 1, 12)",0.5020455718040466,1.0,0,,0.09322659997269511
"(2, 2, 2)","(1, 0, 0, 12)",0.18319196999073029,1.0,0,,1.0308174999954645
"(2, 2, 2)","(1, 0, 1, 12)",0.17602002620697021,1.0,0,,0.9730634999868926
"(2, 2, 2)","(1, 1, 0, 12)",0.45268547534942627,1.0,0,,0.09097019999171607
"(2, 2, 2)","(1, 1, 1, 12)",0.5020455718040466,1.0,0,,0.1071757999889087
