canonical_role,model,mae,rmse,smape,direction_accuracy
AI Engineer,last_value,0.04550183812777201,0.05666562385000729,0.07095166365926771,0.3333333333333333
AI Engineer,moving_average_3,0.03964159886042277,0.045463985117326654,0.062225217207348776,0.3333333333333333
AI Engineer,moving_average_6,0.21209131677945456,0.21535939526357878,0.39970517063807676,0.6666666666666666
AI Engineer,linear_trend,0.056039974093437195,0.06266271740481824,0.09100344262713135,0.5833333333333334
AI Engineer,seasonal_naive,0.25207257519165677,0.34363570776468977,0.6723419419036417,0.6666666666666666
AI Engineer,default_patchtst,0.0431352307399114,0.04869658071834371,0.06750804372665611,0.25
AI Engineer,tuned_patchtst,0.18555349856615067,0.20936023907090442,0.34856506299566886,0.6666666666666666
AI Engineer,sarima,0.19285804529984793,0.20567914572581245,0.2608317786813093,0.0
AI Research Engineer,last_value,0.06475432962179184,0.09001316766180568,0.1489076702902945,0.25
AI Research Engineer,moving_average_3,0.06969501326481502,0.08332640029649896,0.1606482665005934,0.5
AI Research Engineer,moving_average_6,0.12749017030000687,0.1517064870264685,0.33286919442548085,0.25
AI Research Engineer,linear_trend,0.31322267403205234,0.3586041941902008,0.522049791434884,0.5
AI Research Engineer,seasonal_naive,0.3246309955914815,0.36597999035212864,1.4165141227150915,0.16666666666666666
AI Research Engineer,default_patchtst,0.06969653815031052,0.09849742678416289,0.16189332584988642,0.3333333333333333
AI Research Engineer,tuned_patchtst,0.27278169244527817,0.28680889340121984,0.9680487283234478,0.25
AI Research Engineer,sarima,0.2116654415925344,0.24613453354396214,0.39236801205055266,0.5833333333333334
Computer Vision Engineer,last_value,0.09690149873495102,0.11818312828979466,0.22498071412064957,0.25
Computer Vision Engineer,moving_average_3,0.0949417178829511,0.11602666901820297,0.219735497847067,0.25
Computer Vision Engineer,moving_average_6,0.20096317181984583,0.21614605490686903,0.5557371654414937,0.08333333333333333
Computer Vision Engineer,linear_trend,0.25000713144739467,0.26353743749045583,0.754415269852271,0.08333333333333333
Computer Vision Engineer,seasonal_naive,0.17037233710289001,0.25913262086615746,0.6128504989697453,0.3333333333333333
Computer Vision Engineer,default_patchtst,0.10166609783967336,0.1270935525533215,0.23764708314636415,0.25
Computer Vision Engineer,tuned_patchtst,0.19081397727131844,0.2176342968195999,0.5423802857535835,0.16666666666666666
Computer Vision Engineer,sarima,0.11165354897578557,0.13763669515534832,0.2658492828307046,0.25
Data Engineer,last_value,0.036840575436751045,0.05325854474155218,0.07066776150339786,0.4166666666666667
Data Engineer,moving_average_3,0.034439750015735626,0.05451620145111922,0.06590007691433668,0.4166666666666667
Data Engineer,moving_average_6,0.16817289839188257,0.1762485212831456,0.3946106348491781,0.5
Data Engineer,linear_trend,0.44139015829811495,0.45299464573962545,1.6104242552481673,0.5
Data Engineer,seasonal_naive,0.24999583760897318,0.3077589715448339,0.7063814769041769,0.25
Data Engineer,default_patchtst,0.05229949702819189,0.07860338599698771,0.1046485808115949,0.5
Data Engineer,tuned_patchtst,0.10652716706196468,0.12325587904524199,0.24202542948588815,0.5833333333333334
Data Engineer,sarima,0.17498696719606718,0.2139015570907069,0.4462557171823091,0.5833333333333334
Data Scientist,last_value,0.10354215155045192,0.11546208407950362,0.19304047411243416,0.16666666666666666
Data Scientist,moving_average_3,0.03902967522541682,0.05309942046309249,0.0778905269339314,0.8333333333333334
Data Scientist,moving_average_6,0.17058519273996353,0.17865665189219024,0.4059319031722155,0.8333333333333334
Data Scientist,linear_trend,0.13687487691640854,0.14644538035713825,0.31171443399060544,0.8333333333333334
Data Scientist,seasonal_naive,0.1686855877439181,0.25710635999378934,0.594131376819956,0.9166666666666666
Data Scientist,default_patchtst,0.0915616179505984,0.1021277311745327,0.17308552915123931,0.16666666666666666
Data Scientist,tuned_patchtst,0.14014339074492455,0.17465066817577873,0.33092008904313935,0.8333333333333334
Data Scientist,sarima,0.3360782985885938,0.35668283646276167,0.495833157208795,0.0
MLOps Engineer,last_value,0.0518865833679835,0.0633792757167647,0.11668360660716565,0.3333333333333333
MLOps Engineer,moving_average_3,0.05541303257147471,0.07365097220628047,0.12502087144271287,0.3333333333333333
MLOps Engineer,moving_average_6,0.17823441326618195,0.18903424805971364,0.49404969142225613,0.3333333333333333
MLOps Engineer,linear_trend,0.20111155758301416,0.21029932269177481,0.5805010192484003,0.3333333333333333
MLOps Engineer,seasonal_naive,0.16611608366171518,0.245579540166801,0.6161837937777902,0.16666666666666666
MLOps Engineer,default_patchtst,0.04985219736893972,0.06479594780471937,0.11174133941858899,0.3333333333333333
MLOps Engineer,tuned_patchtst,0.18335880214969316,0.19130872387182649,0.5455523886880737,0.3333333333333333
MLOps Engineer,sarima,0.13018573572238287,0.15142939842672898,0.26150094196201396,0.25
Machine Learning Engineer,last_value,0.042770897348721824,0.05291868722467838,0.0708736892072464,0.5
Machine Learning Engineer,moving_average_3,0.033785576621691384,0.03697522070632187,0.056566668833356835,0.5
Machine Learning Engineer,moving_average_6,0.2045485923687617,0.20785352819296657,0.4106564467273361,0.5
Machine Learning Engineer,linear_trend,0.07074281324942906,0.08826390552324057,0.12240970460774646,0.25
Machine Learning Engineer,seasonal_naive,0.24901841084162393,0.3258791097712956,0.6905996957204034,0.3333333333333333
Machine Learning Engineer,default_patchtst,0.03385566174983978,0.041089245494289814,0.05665713879112778,0.5833333333333334
Machine Learning Engineer,tuned_patchtst,0.19978455950816473,0.21205451579780152,0.414630364583035,0.5
Machine Learning Engineer,sarima,0.2799552281697591,0.3112517226323426,0.37033294674040856,0.0
Product Manager,last_value,0.07394282271464665,0.08761754629498189,0.1541011046367479,0.25
Product Manager,moving_average_3,0.057499450941880546,0.07123307818404093,0.1221097217504945,0.5833333333333334
Product Manager,moving_average_6,0.1434348300099373,0.1597497832590302,0.3465187771126907,0.5833333333333334
Product Manager,linear_trend,0.3841412720891337,0.40281310582907154,1.4423501455002696,0.5833333333333334
Product Manager,seasonal_naive,0.2594435935219129,0.32420608229600845,0.7346256180658487,0.16666666666666666
Product Manager,default_patchtst,0.0698531245191892,0.0831363977720559,0.14671155234758124,0.25
Product Manager,tuned_patchtst,0.11555756380160649,0.13141352924939698,0.27385438017952485,0.5
Product Manager,sarima,0.08141432950894038,0.09236164416696563,0.1739365275897017,0.4166666666666667
