experiment_id,stage,seed,context_length,horizon,patch_len,stride,d_model,n_heads,num_layers,dropout,batch_size,epochs,learning_rate,weight_decay,validation_mae,validation_rmse,validation_smape,validation_direction_accuracy,best_epoch,train_seconds,status,error
P001,patch,42,24,12,6,3,64,4,2,0.1,64,100,0.001,0.0001,0.17564983947280174,0.268352505634662,0.7007832390838024,0.5416666666666666,3.0,1.1445167000056244,ok,
P002,patch,42,12,12,3,1,64,4,2,0.1,64,100,0.001,0.0001,0.17266479293660572,0.26380342416854985,0.6998101718265325,0.5416666666666666,14.0,2.604071300011128,ok,
P003,patch,42,12,12,3,3,64,4,2,0.1,64,100,0.001,0.0001,0.17410904815187678,0.26627218872356617,0.7195487118926276,0.5625,10.0,1.533181600010721,ok,
P004,patch,42,12,12,6,1,64,4,2,0.1,64,100,0.001,0.0001,0.17399104529370865,0.267165094252192,0.6919001989294941,0.5416666666666666,13.0,2.0247447000001557,ok,
P005,patch,42,12,12,6,3,64,4,2,0.1,64,100,0.001,0.0001,0.17649607346781218,0.27041818367447273,0.6798163641928037,0.53125,2.0,0.8666281999903731,ok,
P006,patch,42,12,12,6,6,64,4,2,0.1,64,100,0.001,0.0001,0.1749524298744897,0.2701317654760014,0.7380721935623796,0.53125,2.0,0.7303138999850489,ok,
P007,patch,42,12,12,12,3,64,4,2,0.1,64,100,0.001,0.0001,0.17796806700062007,0.2674534371533891,0.7682063270065179,0.4791666666666667,11.0,1.1331244000175502,ok,
P008,patch,42,12,12,12,6,64,4,2,0.1,64,100,0.001,0.0001,0.17796806700062007,0.2674534371533891,0.7682063270065179,0.4791666666666667,11.0,1.2405767999880482,ok,
P009,patch,42,12,12,12,12,64,4,2,0.1,64,100,0.001,0.0001,0.17796806700062007,0.2674534371533891,0.7682063270065179,0.4791666666666667,11.0,1.5179225000028964,ok,
P010,patch,42,18,12,3,1,64,4,2,0.1,64,100,0.001,0.0001,0.1729874080241037,0.2621553696091019,0.6842654462360205,0.5104166666666666,26.0,5.283502200007206,ok,
P011,patch,42,18,12,3,3,64,4,2,0.1,64,100,0.001,0.0001,0.17677056913574538,0.27029155324428544,0.7024895044730721,0.5,3.0,1.1356528000032995,ok,
P012,patch,42,18,12,6,1,64,4,2,0.1,64,100,0.001,0.0001,0.17730319193409136,0.26378287886249246,0.7665907494301801,0.5625,11.0,2.764527300023474,ok,
P013,patch,42,18,12,6,3,64,4,2,0.1,64,100,0.001,0.0001,0.17616427810086557,0.26934829090383205,0.7590882600285692,0.5208333333333334,2.0,1.0105945999966934,ok,
P014,patch,42,18,12,6,6,64,4,2,0.1,64,100,0.001,0.0001,0.17634236892142022,0.27016666641601483,0.6798586345000971,0.5208333333333334,2.0,0.7877904999768361,ok,
P015,patch,42,18,12,12,3,64,4,2,0.1,64,100,0.001,0.0001,0.17633075162302703,0.2706351240342806,0.719509432580641,0.5520833333333334,2.0,0.9381357000092976,ok,
P016,patch,42,18,12,12,6,64,4,2,0.1,64,100,0.001,0.0001,0.17708382047324753,0.26993619844709166,0.7417749588103714,0.53125,3.0,0.8750090000103228,ok,
P017,patch,42,18,12,12,12,64,4,2,0.1,64,100,0.001,0.0001,0.17742179984149212,0.26791515882500444,0.7250811810621886,0.53125,11.0,1.3062753999838606,ok,
P018,patch,42,24,12,3,1,64,4,2,0.1,64,100,0.001,0.0001,0.17945556426032758,0.27061059736308213,0.7272242245706199,0.4895833333333333,5.0,2.623433100001421,ok,
P019,patch,42,24,12,3,3,64,4,2,0.1,64,100,0.001,0.0001,0.17577981015589708,0.26855236924776804,0.7204369562615202,0.4895833333333333,2.0,1.0219790999835823,ok,
P020,patch,42,24,12,6,1,64,4,2,0.1,64,100,0.001,0.0001,0.17774648506504795,0.269855067838105,0.7029407121861745,0.5,2.0,1.812182900001062,ok,
P021,patch,42,24,12,6,6,64,4,2,0.1,64,100,0.001,0.0001,0.1764270545099862,0.2668327251666895,0.7699607072324063,0.5,10.0,1.345298999978695,ok,
P022,patch,42,24,12,12,3,64,4,2,0.1,64,100,0.001,0.0001,0.17777835146989673,0.26972397028308254,0.6992522874406571,0.5208333333333334,6.0,1.2881744999904186,ok,
P023,patch,42,24,12,12,6,64,4,2,0.1,64,100,0.001,0.0001,0.17653678483717763,0.27010271123105306,0.7636827340074435,0.5520833333333334,2.0,0.819662399997469,ok,
P024,patch,42,24,12,12,12,64,4,2,0.1,64,100,0.001,0.0001,0.17720115706712627,0.26973069717207876,0.7418843832431706,0.5208333333333334,3.0,0.6889699999883305,ok,
P025,patch,42,36,12,3,1,64,4,2,0.1,64,100,0.001,0.0001,,,,,,,failed,"context_length=36 has insufficient observed history for disjoint train, validation, and test targets"
P026,patch,42,36,12,3,3,64,4,2,0.1,64,100,0.001,0.0001,,,,,,,failed,"context_length=36 has insufficient observed history for disjoint train, validation, and test targets"
P027,capacity,42,12,12,3,1,32,2,1,0.0,64,100,0.001,0.0001,0.17649094855490452,0.27040292240430785,0.6558212318693266,0.5,4.0,0.40034759999252856,ok,
P028,capacity,42,12,12,3,1,32,4,2,0.2,64,100,0.001,0.0001,0.17441702438130355,0.26203091816609403,0.6800780551207332,0.5625,24.0,2.519818500004476,ok,
